"Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
36,"MSFT230915C00285000",52.5,53.75,12,2385,3.0699997,6.195761,2023-09-11 13:37:20,52.62,0.706057626953125,TRUE,285,FALSE,0.523442265625,0.02,2023-09-11 15:51:51,-60.000004,-0.030000001,4372,663,0.02,0.01,"MSFT230915P00285000"
37,"MSFT230915C00287500",49.9,51.55,1,297,0,0,2023-09-08 15:48:58,46.56,0.723635576171875,TRUE,287.5,FALSE,0.664065859375,0.03,2023-09-11 12:57:17,-40.000004,-0.020000001,567,17,0.33,0,"MSFT230915P00287500"
38,"MSFT230915C00290000",48,49.35,95,4932,3.2299995,7.13812,2023-09-11 14:37:47,48.48,0.826661889648437,TRUE,290,FALSE,0.500005,0.03,2023-09-11 15:57:29,-50,-0.03,5495,211,0.03,0.02,"MSFT230915P00290000"
39,"MSFT230915C00292500",45.1,46.3,3,401,5.2700005,13.409671,2023-09-11 12:34:23,44.57,0.647464462890625,TRUE,292.5,FALSE,0.56055126953125,0.03,2023-09-11 11:30:03,-50,-0.03,437,59,0.19,0.01,"MSFT230915P00292500"
40,"MSFT230915C00295000",42.4,43.6,8,2100,2.6599998,6.5196075,2023-09-11 14:28:08,43.46,0.73437765625,TRUE,295,FALSE,0.50586431640625,0.02,2023-09-11 15:51:11,-71.42857,-0.05,4745,90,0.07,0.03,"MSFT230915P00295000"
41,"MSFT230915C00297500",39.9,41.2,4,241,0,0,2023-09-08 14:59:46,36.65,0.508793974609375,TRUE,297.5,FALSE,0.445318046875,0.04,2023-09-11 13:35:45,-42.857143,-0.030000001,987,15,0.04,0.03,"MSFT230915P00297500"
42,"MSFT230915C00300000",37.5,38.5,311,12538,3.0900002,8.966919,2023-09-11 15:17:41,37.55,0.638187211914062,TRUE,300,FALSE,0.43164630859375,0.04,2023-09-11 15:51:41,-55.555557,-0.050000004,21563,568,0.05,0.04,"MSFT230915P00300000"
43,"MSFT230915C00302500",34.85,36.95,16,211,0.94000244,2.809332,2023-09-11 10:17:04,34.4,0.57812921875,TRUE,302.5,FALSE,0.4062559375,0.05,2023-09-11 15:53:59,-37.499996,-0.029999997,1462,75,0.05,0.04,"MSFT230915P00302500"
44,"MSFT230915C00305000",32.4,34.45,490,2999,4.180002,14.600078,2023-09-11 15:52:35,32.81,0.549320913085938,TRUE,305,FALSE,0.4101621484375,0.04,2023-09-11 15:59:57,-60.000004,-0.060000002,8529,782,0.09,0.04,"MSFT230915P00305000"
45,"MSFT230915C00307500",30.1,31.65,43,238,2.25,7.9225354,2023-09-11 15:53:40,30.65,0.502446381835938,TRUE,307.5,FALSE,0.36133451171875,0.05,2023-09-11 15:35:05,-58.333332,-0.06999999,1694,311,0.06,0.05,"MSFT230915P00307500"
